ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1444148714.44138,0,0,0,0,0,0,0,0,0,0
1444148714.44138,0,0,0,0,0,0,0,0,0,0
1444148714.44138,0,90,0,193,4690,24150,2035,0,0,0
1444148714.44138,6,1046,7,933,128850,167176,75311,86676242,38,75390
1444148774.92273,0,0,0,0,0,0,0,0,0,0
1444148774.92273,0,0,0,0,0,0,0,0,0,0
1444148774.92273,0,92,0,198,4760,25152,2046,0,0,0
1444148774.92273,6,1270,9,1071,171818,197480,101704,86751584,47,150495
1444148834.45964,0,0,0,0,0,0,0,0,0,0
1444148834.45964,0,0,0,0,0,0,0,0,0,0
1444148834.45964,0,94,0,198,4835,26154,2057,0,0,0
1444148834.45964,5,1355,13,1072,183374,208195,108560,86826438,56,225241
1444148894.46282,0,0,0,0,0,0,0,0,0,0
1444148894.46282,0,0,0,0,0,0,0,0,0,0
1444148894.46282,0,96,0,198,4910,27156,2068,0,0,0
1444148894.46282,5,1429,15,1074,193549,218243,114390,86826459,63,225256
1444148954.44229,0,0,0,0,0,0,0,0,0,0
1444148954.44229,0,0,0,0,0,0,0,0,0,0
1444148954.44229,0,98,0,198,4985,28158,2079,0,0,0
1444148954.44229,5,1503,16,1074,204106,228084,120385,86826465,69,225256
1444149014.48991,0,0,0,0,0,0,0,0,0,0
1444149014.48991,0,0,0,0,0,0,0,0,0,0
1444149014.48991,0,100,0,198,5060,29160,2090,0,0,0
1444149014.48991,5,1568,17,1074,213355,237300,125753,86826489,76,225271
1444149074.44556,0,0,0,0,0,0,0,0,0,0
1444149074.44556,0,0,0,0,0,0,0,0,0,0
1444149074.44556,0,102,0,198,5135,30162,2101,0,0,0
1444149074.44556,5,1638,19,1074,222969,246766,131373,86826495,82,225271
1444149134.45101,0,0,0,0,0,0,0,0,0,0
1444149134.45101,0,0,0,0,0,0,0,0,0,0
1444149134.45101,0,104,0,198,5210,31164,2112,0,0,0
1444149134.45101,3,1682,21,1074,229444,253917,135050,86826499,86,225271
1444149194.45962,0,0,0,0,0,0,0,0,0,0
1444149194.45962,0,0,0,0,0,0,0,0,0,0
1444149194.45962,0,106,0,198,5285,32166,2123,0,0,0
1444149194.45962,3,1742,23,1074,237549,262496,139787,86826503,92,225271
