Linux 3.16.0-38-generic (pgxl) 	10/06/2015 	_x86_64_	(4 CPU)

12:01:58 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:02:58 PM     all      5.20      0.00      3.29     32.93      0.00     58.58
12:03:58 PM     all     30.80      0.01      5.48     61.96      0.00      1.75
12:04:58 PM     all     58.22      0.00      4.97     34.96      0.00      1.85
12:05:58 PM     all     40.46      0.05      5.60     50.19      0.00      3.70
12:06:58 PM     all     34.20      0.02      4.76     54.03      0.00      6.99
12:07:58 PM     all     35.67      0.11      6.09     50.54      0.00      7.59
12:08:58 PM     all     49.82      0.13      5.15     31.84      0.00     13.06
12:09:58 PM     all     59.06      0.20      6.11     21.04      0.00     13.58
12:10:58 PM     all     69.12      0.15      7.03     15.75      0.00      7.95
12:11:58 PM     all     61.31      0.21      7.42     15.13      0.00     15.94
12:12:58 PM     all     49.34      0.29      5.19      4.89      0.00     40.29
12:13:58 PM     all     47.03      0.79      6.05      3.02      0.00     43.11
12:14:58 PM     all     85.11      0.37     11.14      1.24      0.00      2.14
12:15:58 PM     all     90.15      0.15      7.87      1.60      0.00      0.23
12:16:58 PM     all     37.80      0.11      6.17     14.32      0.00     41.60
