# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl1;60;1444147378;eth0;69.85;58.31;456.02;4.81;0.00;0.00;0.00
pgxl1;60;1444147378;lo;10.13;10.13;2.52;2.52;0.00;0.00;0.00
pgxl1;60;1444147438;eth0;1566.70;836.82;10478.60;55.11;0.00;0.00;0.00
pgxl1;60;1444147438;lo;7.99;7.99;1.64;1.64;0.00;0.00;0.00
pgxl1;60;1444147498;eth0;955.49;599.06;7019.87;39.21;0.00;0.00;0.00
pgxl1;60;1444147498;lo;9.00;9.00;1.87;1.87;0.00;0.00;0.00
pgxl1;60;1444147558;eth0;1348.24;1171.98;11581.00;76.78;0.00;0.00;0.00
pgxl1;60;1444147558;lo;6.29;6.29;1.31;1.31;0.00;0.00;0.00
pgxl1;59;1444147618;eth0;929.43;812.26;7702.17;53.27;0.00;0.00;0.00
pgxl1;59;1444147618;lo;6.04;6.04;1.23;1.23;0.00;0.00;0.00
pgxl1;60;1444147678;eth0;802.16;691.31;6879.94;45.00;0.00;0.00;0.00
pgxl1;60;1444147678;lo;7.80;7.80;1.44;1.44;0.00;0.00;0.00
pgxl1;59;1444147738;eth0;1047.05;887.97;9602.43;58.10;0.00;0.00;0.00
pgxl1;59;1444147738;lo;5.89;5.89;1.19;1.19;0.00;0.00;0.00
pgxl1;60;1444147798;eth0;1684.23;1448.50;14637.20;93.81;0.00;0.00;0.00
pgxl1;60;1444147798;lo;4.80;4.80;0.95;0.95;0.00;0.00;0.00
pgxl1;60;1444147858;eth0;1868.71;1572.59;16228.74;101.81;0.00;0.00;0.00
pgxl1;60;1444147858;lo;5.04;5.04;0.98;0.98;0.00;0.00;0.00
pgxl1;59;1444147918;eth0;1562.35;1329.44;13321.87;86.14;0.00;0.00;0.00
pgxl1;59;1444147918;lo;5.30;5.30;1.08;1.08;0.00;0.00;0.00
pgxl1;59;1444147978;eth0;1.63;1.35;0.18;0.53;0.00;0.00;0.00
pgxl1;59;1444147978;lo;4.11;4.11;0.89;0.89;0.00;0.00;0.00
pgxl1;59;1444148038;eth0;2.12;1.79;0.22;0.54;0.00;0.00;0.00
pgxl1;59;1444148038;lo;4.40;4.40;1.04;1.04;0.00;0.00;0.00
pgxl1;60;1444148098;eth0;2.19;1.82;0.23;0.58;0.00;0.00;0.00
pgxl1;60;1444148098;lo;7.00;7.00;1.35;1.35;0.00;0.00;0.00
pgxl1;60;1444148158;eth0;2.10;1.80;0.22;0.55;0.00;0.00;0.00
pgxl1;60;1444148158;lo;3.87;3.87;0.90;0.90;0.00;0.00;0.00
pgxl1;60;1444148218;eth0;2.01;1.71;0.20;0.58;0.00;0.00;0.00
pgxl1;60;1444148218;lo;7.91;7.91;1.34;1.34;0.00;0.00;0.00
