# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl1;60;1444147378;16102524;237320;1.45;0;208816;10472804;22.13
pgxl1;60;1444147438;15206960;1132884;6.93;0;1090180;10618136;22.44
pgxl1;60;1444147498;14286248;2053596;12.57;0;1859876;10983088;23.21
pgxl1;60;1444147558;13555808;2784036;17.04;0;2700184;10770188;22.76
pgxl1;59;1444147618;12857544;3482300;21.31;0;3389372;10817988;22.86
pgxl1;60;1444147678;11647600;4692244;28.72;0;3857120;12520572;26.46
pgxl1;59;1444147738;11667620;4672224;28.59;0;4553376;10934740;23.10
pgxl1;60;1444147798;11507844;4832000;29.57;0;4713164;10919008;23.07
pgxl1;60;1444147858;11482252;4857592;29.73;0;4738624;10907440;23.05
pgxl1;59;1444147918;11085644;5254200;32.16;0;4884984;11571928;24.45
pgxl1;59;1444147978;10658084;5681760;34.77;0;5039436;12061888;25.49
pgxl1;59;1444148038;11193220;5146624;31.50;0;5020540;11177676;23.62
pgxl1;60;1444148098;9788204;6551640;40.10;0;3942160;16509376;34.88
pgxl1;60;1444148158;10021276;6318568;38.67;0;5184136;13241872;27.98
pgxl1;60;1444148218;9673300;6666544;40.80;0;6590396;12137596;25.65
