# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl1;59;1444148321;9582480;6757364;41.36;0;6640636;11136732;23.53
pgxl1;59;1444148381;9621048;6718796;41.12;0;6664992;11087228;23.43
pgxl1;58;1444148441;9547336;6792508;41.57;0;5776948;13014136;27.50
pgxl1;59;1444148501;9937184;6402660;39.18;0;6253828;10932852;23.10
pgxl1;58;1444148561;9567912;6771932;41.44;0;6734236;11244864;23.76
pgxl1;59;1444148621;9496144;6843700;41.88;0;6748840;11316228;23.91
pgxl1;59;1444148681;9463704;6876140;42.08;0;6760108;11430072;24.15
