# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl1;59;1444148321;65391.74;31562.97;34615.59;62.73;55133.31;15633.50;2823.73;17811.62;96.50
pgxl1;59;1444148381;54678.20;544.85;8656.77;142.94;17449.74;12633.71;357.43;12415.57;95.57
pgxl1;58;1444148441;87815.91;1493.38;14432.99;32.97;39422.02;20336.46;11589.89;30592.95;95.82
pgxl1;59;1444148501;129613.43;17611.26;16170.93;54.02;51097.83;32687.52;1461.52;31944.54;93.54
pgxl1;58;1444148561;48984.98;2170.04;11803.99;47.55;21070.65;6392.34;1636.75;7597.05;94.62
pgxl1;59;1444148621;63725.63;1169.45;2515.34;62.36;18520.61;16675.01;404.10;16100.36;94.27
pgxl1;59;1444148681;90200.34;1518.07;15930.18;44.23;31703.38;21799.28;2156.75;23125.81;96.53
