# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
pgxl;60;1444148774;16225208;114636;0.70;0;87072;11121972;23.50
pgxl;59;1444148834;16232876;106968;0.65;0;79996;10981288;23.20
pgxl;59;1444148894;16241868;97976;0.60;0;70568;11001912;23.25
pgxl;59;1444148954;16249832;90012;0.55;0;67952;11015524;23.28
pgxl;59;1444149014;16247048;92796;0.57;0;67792;11313976;23.91
pgxl;59;1444149074;16248600;91244;0.56;0;69704;10926624;23.09
pgxl;59;1444149134;16242488;97356;0.60;0;70320;10863164;22.95
pgxl;59;1444149194;16254244;85600;0.52;0;64192;11417256;24.12
