# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl;60;1444148774;eth0;171.46;186.50;1185.10;230.72;0.00;0.00;0.00
pgxl;60;1444148774;lo;61.40;61.40;13.44;13.44;0.00;0.00;0.00
pgxl;59;1444148834;eth0;21.24;28.94;2.78;65.09;0.00;0.00;0.00
pgxl;59;1444148834;lo;30.33;30.33;6.00;6.00;0.00;0.00;0.00
pgxl;59;1444148894;eth0;59.74;68.06;357.99;14.02;0.00;0.00;0.00
pgxl;59;1444148894;lo;22.28;22.28;4.86;4.86;0.00;0.00;0.00
pgxl;59;1444148954;eth0;158.45;162.86;1199.90;18.20;0.00;0.00;0.00
pgxl;59;1444148954;lo;22.68;22.68;4.75;4.75;0.00;0.00;0.00
pgxl;59;1444149014;eth0;188.01;147.37;1871.91;16.20;0.00;0.00;0.00
pgxl;59;1444149014;lo;21.75;21.75;4.07;4.07;0.00;0.00;0.00
pgxl;59;1444149074;eth0;8.49;9.31;1.80;8.14;0.00;0.00;0.00
pgxl;59;1444149074;lo;17.62;17.62;3.47;3.47;0.00;0.00;0.00
pgxl;59;1444149134;eth0;8.67;8.82;1.71;4.58;0.00;0.00;0.00
pgxl;59;1444149134;lo;18.00;18.00;3.57;3.57;0.00;0.00;0.00
pgxl;59;1444149194;eth0;8.75;9.64;7.16;5.19;0.00;0.00;0.00
pgxl;59;1444149194;lo;18.01;18.01;3.77;3.77;0.00;0.00;0.00
