1:140391800428288:2015-10-06 12:02:09.109 EDT -LOG:  Starting GTM proxy at (*:6666)
LOCATION:  main, proxy_main.c:813
1:140391790106368:2015-10-06 12:03:10.455 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:03:41.113 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:04:10.491 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:04:41.780 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:05:10.494 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:05:40.545 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:06:10.969 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:06:40.579 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:07:10.528 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:07:40.907 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:08:13.135 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:08:40.621 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:09:10.609 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:09:40.646 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:10:10.610 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:10:40.690 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:11:10.644 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:11:40.689 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:12:10.669 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:12:40.736 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:13:10.692 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:13:40.760 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:14:10.734 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:14:40.815 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:15:10.793 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:15:40.836 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391781713664:2015-10-06 12:16:10.777 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:16:40.850 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:17:10.786 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
1:140391790106368:2015-10-06 12:17:30.995 EDT -LOG:  unexpected EOF on client connection
LOCATION:  ReadCommand, proxy_main.c:2074
