# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl2;60;1444147378;eth0;68.23;58.36;453.61;4.84;0.00;0.00;0.00
pgxl2;60;1444147378;lo;9.84;9.84;2.45;2.45;0.00;0.00;0.00
pgxl2;60;1444147438;eth0;1714.04;912.73;10477.89;60.06;0.00;0.00;0.00
pgxl2;60;1444147438;lo;7.88;7.88;1.63;1.63;0.00;0.00;0.00
pgxl2;60;1444147498;eth0;972.44;574.59;7031.28;37.66;0.00;0.00;0.00
pgxl2;60;1444147498;lo;9.06;9.06;1.88;1.88;0.00;0.00;0.00
pgxl2;59;1444147558;eth0;1387.88;1206.02;11543.65;78.98;0.00;0.00;0.00
pgxl2;59;1444147558;lo;6.41;6.41;1.33;1.33;0.00;0.00;0.00
pgxl2;59;1444147618;eth0;913.03;773.06;7678.80;50.72;0.00;0.00;0.00
pgxl2;59;1444147618;lo;6.13;6.13;1.24;1.24;0.00;0.00;0.00
pgxl2;60;1444147678;eth0;803.74;716.06;6874.35;46.62;0.00;0.00;0.00
pgxl2;60;1444147678;lo;7.99;7.99;1.44;1.44;0.00;0.00;0.00
pgxl2;59;1444147738;eth0;1056.61;907.94;9608.08;59.38;0.00;0.00;0.00
pgxl2;59;1444147738;lo;5.90;5.90;1.19;1.19;0.00;0.00;0.00
pgxl2;60;1444147798;eth0;1708.03;1463.98;14606.02;94.78;0.00;0.00;0.00
pgxl2;60;1444147798;lo;5.53;5.53;1.03;1.03;0.00;0.00;0.00
pgxl2;60;1444147858;eth0;1885.96;1621.42;16244.05;104.94;0.00;0.00;0.00
pgxl2;60;1444147858;lo;5.19;5.19;0.99;0.99;0.00;0.00;0.00
pgxl2;59;1444147918;eth0;1563.06;1330.45;13300.97;86.21;0.00;0.00;0.00
pgxl2;59;1444147918;lo;5.13;5.13;1.06;1.06;0.00;0.00;0.00
pgxl2;59;1444147978;eth0;1.75;1.35;0.19;0.51;0.00;0.00;0.00
pgxl2;59;1444147978;lo;4.11;4.11;0.88;0.88;0.00;0.00;0.00
pgxl2;59;1444148038;eth0;2.19;1.73;0.23;0.54;0.00;0.00;0.00
pgxl2;59;1444148038;lo;4.38;4.38;1.04;1.04;0.00;0.00;0.00
pgxl2;60;1444148098;eth0;2.16;1.84;0.23;0.57;0.00;0.00;0.00
pgxl2;60;1444148098;lo;7.76;7.76;1.43;1.43;0.00;0.00;0.00
pgxl2;60;1444148158;eth0;1.97;1.88;0.21;0.57;0.00;0.00;0.00
pgxl2;60;1444148158;lo;3.87;3.87;0.89;0.89;0.00;0.00;0.00
pgxl2;60;1444148218;eth0;1.77;1.79;0.18;0.55;0.00;0.00;0.00
pgxl2;60;1444148218;lo;7.95;7.95;1.34;1.34;0.00;0.00;0.00
